iter	RMSE
0	3101.43881
1	3080.730355
2	3061.483877
3	3043.33856
4	3026.982847
5	3011.745934
6	2997.960118
7	2985.416996
8	2974.296246
9	2963.968309
10	2954.370635
11	2946.107902
12	2938.308878
13	2931.343591
14	2924.482401
15	2918.251297
16	2913.007616
17	2907.192743
18	2902.429445
19	2897.807684
20	2893.672026
21	2889.407381
22	2885.324583
23	2882.23374
24	2879.651361
25	2876.973715
26	2874.347441
27	2871.723901
28	2869.228144
29	2867.016738
30	2864.9275
31	2862.764515
32	2860.910033
33	2859.153314
34	2857.319975
35	2855.537372
36	2854.111877
37	2852.853025
38	2851.622236
39	2850.456972
40	2849.26679
41	2847.962477
42	2846.886155
43	2845.981676
44	2845.016376
45	2844.397162
46	2843.220159
47	2842.480932
48	2841.656514
49	2840.8007
50	2839.693311
51	2838.841188
52	2838.090104
53	2837.372109
54	2836.5324
55	2835.906842
56	2835.195731
57	2834.669867
58	2834.155413
59	2833.598831
60	2833.110049
61	2832.594241
62	2832.01256
63	2831.487689
64	2830.791147
65	2830.287963
66	2829.834199
67	2829.430691
68	2829.126738
69	2828.80303
70	2828.373689
71	2827.851486
72	2827.506809
73	2827.020784
74	2826.580162
75	2826.240623
76	2825.698075
77	2825.268959
78	2824.919246
79	2824.397828
80	2823.595978
81	2823.227936
82	2822.78179
83	2822.400274
84	2822.167535
85	2821.763896
86	2821.307176
87	2820.89705
88	2820.555617
89	2820.265827
90	2819.902606
91	2819.686029
92	2819.384045
93	2818.959841
94	2818.750978
95	2818.264248
96	2818.001711
97	2817.526711
98	2817.377188
99	2817.004258
100	2816.723993
101	2816.292604
102	2815.840073
103	2815.457457
104	2815.175705
105	2814.911701
106	2814.668263
107	2814.388728
108	2814.111154
109	2813.642657
110	2813.443188
111	2813.248337
112	2812.910859
113	2812.65282
114	2812.308602
115	2811.865989
116	2811.571234
117	2811.344938
118	2811.08333
119	2810.984539
120	2810.877111
121	2810.725216
122	2810.381641
123	2809.80845
124	2809.181477
125	2809.078508
126	2808.907035
127	2808.720194
128	2808.506804
129	2808.277585
130	2807.980792
131	2807.58538
132	2807.268522
133	2806.748636
134	2806.558119
135	2806.085216
136	2805.837863
137	2805.600337
138	2805.449519
139	2805.330457
140	2805.126561
141	2804.813517
142	2804.631292
143	2804.450561
144	2804.302527
145	2803.98464
146	2803.898408
147	2803.72637
148	2803.535677
149	2803.266456
150	2803.036529
151	2802.78165
152	2802.522334
153	2802.29818
154	2801.890679
155	2801.362082
156	2801.137385
157	2801.027636
158	2800.811764
159	2800.715796
160	2800.435872
161	2800.055168
162	2799.784667
163	2799.566024
164	2799.361813
165	2799.145818
166	2798.815822
167	2798.764702
168	2798.70598
169	2798.657347
170	2798.478137
171	2798.242008
172	2798.0268
173	2797.887571
174	2797.537623
175	2797.294254
176	2796.924723
177	2796.800816
178	2796.495671
179	2796.332606
180	2796.016021
181	2795.830844
182	2795.628527
183	2795.559589
184	2795.342285
185	2794.749495
186	2794.554685
187	2794.406413
188	2794.266679
189	2794.114699
190	2793.746971
191	2793.605082
192	2793.497794
193	2793.207934
194	2792.814708
195	2792.655155
196	2792.500526
197	2792.115998
198	2791.71123
199	2791.415793
200	2791.20901
201	2790.912645
202	2790.82241
203	2790.568737
204	2790.433504
205	2790.158923
206	2790.009281
207	2789.907256
208	2789.833711
209	2789.687743
210	2789.407724
211	2789.259729
212	2789.051262
213	2788.709983
214	2788.648571
215	2788.481891
216	2788.169988
217	2787.920506
218	2787.665965
219	2787.549668
220	2787.354878
221	2787.022161
222	2786.794063
223	2786.483994
224	2786.233755
225	2785.948041
226	2785.739202
227	2785.304124
228	2785.151208
229	2784.927304
230	2784.524505
231	2784.240248
232	2783.872712
233	2783.702778
234	2783.472905
235	2783.427377
236	2783.269212
237	2783.000964
238	2782.883734
239	2782.788421
240	2782.43327
241	2782.22564
242	2781.97129
243	2781.676245
244	2781.451733
245	2781.245817
246	2780.943057
247	2780.750407
248	2780.542689
249	2780.341729
250	2780.131471
251	2779.970154
252	2779.80858
253	2779.507186
254	2779.291122
255	2779.062293
256	2778.852795
257	2778.693412
258	2778.449155
259	2778.22676
260	2778.024936
261	2777.945008
262	2777.636731
263	2777.416948
264	2777.116651
265	2776.912039
266	2776.711774
267	2776.505242
268	2776.396068
269	2776.120323
270	2775.912158
271	2775.855021
272	2775.595988
273	2775.48389
274	2775.239181
275	2775.086203
276	2774.919831
277	2774.694285
278	2774.505276
279	2774.277154
280	2774.094487
281	2774.019731
282	2773.809113
283	2773.706723
284	2773.591363
285	2773.132621
286	2772.980517
287	2772.680847
288	2772.521564
289	2772.216256
290	2772.144317
291	2771.602849
292	2771.297827
293	2771.196938
294	2771.020338
295	2770.796536
296	2770.560438
297	2770.363014
298	2769.984731
299	2769.839914
300	2769.615636
301	2769.458767
302	2769.311107
303	2769.179057
304	2768.829739
305	2768.56959
306	2768.471225
307	2767.98173
308	2767.720416
309	2767.421909
310	2767.133065
311	2766.822844
312	2766.555867
313	2766.217838
314	2766.061604
315	2765.972329
316	2765.800712
317	2765.532669
318	2765.4938
319	2765.316621
320	2765.232091
321	2765.049182
322	2764.817414
323	2764.590234
324	2764.357402
325	2764.073371
326	2763.991166
327	2763.762559
328	2763.540412
329	2763.250047
330	2763.038607
331	2762.835467
332	2762.804452
333	2762.603657
334	2762.427165
335	2762.357249
336	2762.006015
337	2761.972021
338	2761.823873
339	2761.653314
340	2761.364015
341	2761.07965
342	2761.037874
343	2760.855877
344	2760.798313
345	2760.511504
346	2760.327086
347	2760.217466
348	2759.96896
349	2759.723778
350	2759.514358
351	2759.189097
352	2758.900618
353	2758.783347
354	2758.525352
355	2758.347201
356	2758.137874
357	2757.927193
358	2757.692118
359	2757.483344
360	2757.165615
361	2756.909052
362	2756.630303
363	2756.312281
364	2756.058111
365	2755.763692
366	2755.584849
367	2755.307347
368	2755.050144
369	2754.848984
370	2754.395508
371	2754.24465
372	2754.103888
373	2753.957548
374	2753.76607
375	2753.469821
376	2753.378967
377	2753.010846
378	2752.798844
379	2752.584614
380	2752.359317
381	2752.115512
382	2751.95115
383	2751.852258
384	2751.644335
385	2751.479457
386	2751.34037
387	2751.255586
388	2751.104934
389	2750.850225
390	2750.67747
391	2750.43931
392	2750.266051
393	2749.946437
394	2749.874723
395	2749.725959
396	2749.645533
397	2749.490318
398	2749.310103
399	2749.130886
400	2748.851404
401	2748.640216
402	2748.359761
403	2747.906048
404	2747.756522
405	2747.674152
406	2747.624511
407	2747.374485
408	2747.229297
409	2746.855964
410	2746.738072
411	2746.55846
412	2746.294912
413	2745.99866
414	2745.81847
415	2745.619615
416	2745.542624
417	2745.402855
418	2745.05824
419	2744.700508
420	2744.344409
421	2744.072956
422	2743.868336
423	2743.705245
424	2743.622035
425	2743.216576
426	2743.159424
427	2743.088353
428	2743.032165
429	2742.914941
430	2742.746974
431	2742.520492
432	2742.366035
433	2742.207024
434	2741.892569
435	2741.539426
436	2741.406892
437	2741.120904
438	2740.796015
439	2740.608118
440	2740.55466
441	2740.354141
442	2740.14908
443	2739.992831
444	2739.939552
445	2739.873841
446	2739.468686
447	2739.410763
448	2739.251964
449	2739.086118
450	2738.889781
451	2738.686045
452	2738.490388
453	2738.151743
454	2738.080331
455	2737.966057
456	2737.902641
457	2737.720731
458	2737.519551
459	2737.211645
460	2736.986349
461	2736.744726
462	2736.568122
463	2736.240119
464	2736.185886
465	2736.056967
466	2735.74186
467	2735.603895
468	2735.414499
469	2735.202147
470	2735.12983
471	2735.071568
472	2734.800049
473	2734.743819
474	2734.325588
475	2734.192886
476	2734.092261
477	2734.048666
478	2734.009368
479	2733.735031
480	2733.368387
481	2732.999088
482	2732.934062
483	2732.708749
484	2732.661776
485	2732.483363
486	2732.268019
487	2731.953503
488	2731.655424
489	2731.472465
490	2731.353738
491	2731.185836
492	2730.89974
493	2730.854145
494	2730.838287
495	2730.799332
496	2730.671449
497	2730.455269
498	2730.1649
499	2730.127072
