iter	Passed	Remaining
0	139	69520
1	153	38190
2	167	27726
3	182	22585
4	196	19441
5	210	17365
6	225	15875
7	240	14781
8	255	13914
9	269	13195
10	284	12665
11	298	12133
12	313	11736
13	329	11438
14	343	11120
15	358	10833
16	373	10614
17	391	10472
18	408	10335
19	422	10144
20	436	9957
21	450	9781
22	465	9652
23	479	9502
24	493	9381
25	505	9218
26	516	9041
27	527	8898
28	538	8751
29	551	8644
30	564	8538
31	578	8453
32	589	8347
33	600	8232
34	612	8139
35	624	8048
36	635	7953
37	647	7866
38	658	7784
39	669	7694
40	679	7611
41	691	7543
42	702	7466
43	713	7389
44	725	7335
45	740	7308
46	752	7253
47	766	7220
48	781	7194
49	796	7170
50	813	7159
51	825	7114
52	839	7077
53	854	7057
54	865	7002
55	881	6985
56	895	6961
57	910	6935
58	924	6908
59	937	6875
60	951	6850
61	966	6825
62	983	6823
63	1000	6818
64	1012	6776
65	1024	6735
66	1038	6710
67	1051	6678
68	1062	6636
69	1074	6600
70	1084	6555
71	1095	6510
72	1107	6478
73	1120	6448
74	1130	6407
75	1141	6370
76	1153	6336
77	1166	6313
78	1182	6299
79	1192	6258
80	1211	6265
81	1235	6297
82	1248	6272
83	1261	6246
84	1271	6208
85	1281	6169
86	1292	6136
87	1303	6101
88	1313	6066
89	1324	6032
90	1335	6002
91	1346	5972
92	1356	5937
93	1368	5909
94	1378	5878
95	1390	5851
96	1400	5817
97	1411	5788
98	1420	5755
99	1433	5733
100	1444	5707
101	1456	5684
102	1467	5655
103	1478	5628
104	1489	5604
105	1500	5579
106	1510	5547
107	1522	5524
108	1533	5500
109	1544	5475
110	1554	5448
111	1566	5426
112	1576	5400
113	1586	5370
114	1597	5348
115	1610	5330
116	1620	5303
117	1629	5275
118	1640	5252
119	1649	5224
120	1661	5202
121	1671	5178
122	1681	5155
123	1692	5131
124	1704	5112
125	1714	5090
126	1724	5066
127	1735	5045
128	1747	5026
129	1758	5005
130	1769	4983
131	1780	4962
132	1791	4944
133	1804	4928
134	1816	4910
135	1831	4901
136	1843	4885
137	1855	4866
138	1867	4849
139	1876	4826
140	1887	4804
141	1897	4784
142	1913	4777
143	1927	4765
144	1937	4744
145	1950	4730
146	1962	4712
147	1975	4698
148	1992	4693
149	2005	4678
150	2017	4662
151	2028	4645
152	2042	4633
153	2056	4621
154	2068	4603
155	2079	4586
156	2090	4567
157	2105	4556
158	2118	4544
159	2131	4530
160	2144	4516
161	2164	4515
162	2177	4501
163	2192	4492
164	2207	4482
165	2222	4470
166	2235	4457
167	2247	4442
168	2263	4433
169	2275	4416
170	2289	4404
171	2301	4389
172	2317	4380
173	2332	4370
174	2348	4362
175	2363	4350
176	2376	4337
177	2390	4324
178	2404	4312
179	2420	4303
180	2434	4290
181	2448	4277
182	2461	4264
183	2475	4250
184	2490	4240
185	2505	4229
186	2524	4226
187	2543	4220
188	2558	4209
189	2575	4202
190	2592	4193
191	2607	4183
192	2621	4170
193	2636	4157
194	2655	4152
195	2678	4153
196	2695	4145
197	2717	4144
198	2735	4138
199	2752	4128
200	2777	4131
201	2800	4132
202	2817	4122
203	2835	4113
204	2849	4100
205	2863	4086
206	2877	4072
207	2888	4055
208	2900	4039
209	2952	4077
210	2986	4090
211	3000	4075
212	3014	4061
213	3029	4048
214	3044	4036
215	3058	4021
216	3073	4007
217	3088	3994
218	3102	3980
219	3118	3969
220	3131	3953
221	3147	3942
222	3162	3928
223	3181	3920
224	3195	3905
225	3209	3890
226	3223	3876
227	3236	3861
228	3248	3844
229	3260	3827
230	3273	3812
231	3285	3795
232	3297	3778
233	3309	3761
234	3321	3745
235	3332	3728
236	3344	3711
237	3355	3694
238	3366	3676
239	3377	3658
240	3390	3643
241	3402	3627
242	3414	3611
243	3426	3594
244	3437	3577
245	3448	3561
246	3462	3546
247	3472	3528
248	3482	3510
249	3492	3492
250	3504	3477
251	3514	3458
252	3525	3441
253	3535	3424
254	3545	3406
255	3555	3388
256	3566	3371
257	3577	3355
258	3588	3338
259	3598	3321
260	3608	3303
261	3618	3286
262	3629	3270
263	3639	3253
264	3650	3236
265	3660	3219
266	3669	3202
267	3681	3187
268	3690	3169
269	3700	3152
270	3710	3135
271	3720	3118
272	3730	3101
273	3740	3084
274	3751	3069
275	3760	3052
276	3770	3035
277	3781	3019
278	3790	3002
279	3800	2986
280	3810	2969
281	3819	2952
282	3829	2936
283	3839	2920
284	3848	2903
285	3859	2887
286	3868	2870
287	3878	2854
288	3888	2838
289	3898	2822
290	3908	2806
291	3918	2791
292	3929	2776
293	3939	2760
294	3949	2744
295	3960	2729
296	3970	2713
297	3979	2697
298	3989	2682
299	3999	2666
300	4009	2650
301	4018	2634
302	4028	2619
303	4038	2603
304	4049	2589
305	4060	2574
306	4070	2558
307	4081	2544
308	4090	2528
309	4101	2513
310	4111	2498
311	4121	2483
312	4132	2468
313	4143	2454
314	4153	2439
315	4162	2423
316	4172	2408
317	4182	2393
318	4191	2378
319	4201	2363
320	4210	2348
321	4219	2332
322	4229	2317
323	4240	2303
324	4249	2288
325	4259	2273
326	4268	2258
327	4279	2244
328	4289	2229
329	4301	2215
330	4310	2201
331	4320	2186
332	4330	2171
333	4340	2157
